Year,Datetime,Stage,Stadium,City,Home Team Name,Home Team Goals,Away Team Goals,Away Team Name,Win conditions,Attendance,Half-time Home Goals,Half-time Away Goals,Referee,Assistant 1,Assistant 2,RoundID,MatchID,Home Team Initials,Away Team Initials,Result,Total Goals
1986,1986-06-07 12:00:00,Group Stage,Estadio Azteca,Mexico City ,Mexico,1,1,Paraguay, ,114600,1,0,COURTNEY George (ENG),FREDRIKSSON Erik (SWE),IGNA Ioan (ROU),308,680,MEX,PAR,Draw,2
1986,1986-06-07 16:00:00,Group Stage,Estadio Universitario,Monterrey ,Poland,1,0,Portugal, ,19915,0,0,BENNACEUR Ali (TUN),PICON-ACKONG Edwin (MRI),TAKADA Shizuo (JPN),308,701,POL,POR,Home Win,1
1986,1986-06-08 12:00:00,Group Stage,Bombonera - Estadio Nemesio Diez,Toluca ,Iraq,1,2,Belgium, ,20000,0,2,DIAZ PALACIO Jesus (COL),CHRISTOV Vojtech (TCH),SANCHEZ ARMINIO Victoriano (ESP),308,427,IRQ,BEL,Away Win,3
1986,1986-06-08 12:00:00,Group Stage,Estadio Corregidora,Queretaro ,Germany,2,1,Scotland, ,30000,1,1,IGNA Ioan (ROU),DOTCHEV Bogdan (BUL),SNODDY Alan (NIR),308,580,FRG,SCO,Home Win,3
1986,1986-06-08 16:00:00,Group Stage,Neza,Nezahualcoyotl ,Denmark,6,1,Uruguay, ,26500,2,1,MARQUEZ RAMIREZ Antonio (MEX),KEIZER Jan (NED),ARPPI FILHO Romualdo (BRA),308,522,DEN,URU,Home Win,7
1986,1986-06-09 12:00:00,Group Stage,Nou Camp - Estadio Le�n,Leon ,Hungary,0,3,France, ,31420,0,1,SILVA VALENTE Carlos Alberto (POR),PONNET Alexis (BEL),DAINA Andre (SUI),308,567,HUN,FRA,Away Win,3
1986,1986-06-09 12:00:00,Group Stage,Estadio Irapuato,Irapuato ,Soviet Union,2,0,Canada, ,14200,0,0,TRAORE Idrissa (MLI),AL SHANAR Fallaj Khuzam (KSA),GONZALEZ ROA Gabriel (PAR),308,476,URS,CAN,Home Win,2
1986,1986-06-10 12:00:00,Group Stage,Cuauhtemoc,Puebla ,Korea Republic,2,3,Italy, ,20000,0,1,SOCHA David (USA),URREA Joaquin (MEX),AL SHARIF Jamal (SYR),308,643,KOR,ITA,Away Win,5
1986,1986-06-10 12:00:00,Group Stage,Estadio Ol�mpico Universitario,Mexico City ,Argentina,2,0,Bulgaria, ,65000,1,0,ULLOA MORERA Berny (CRC),ARPPI FILHO Romualdo (BRA),MARTINEZ BAZAN Jose Luis (URU),308,389,ARG,BUL,Home Win,2
1986,1986-06-11 12:00:00,Group Stage,Bombonera - Estadio Nemesio Diez,Toluca ,Paraguay,2,2,Belgium, ,16000,0,1,DOTCHEV Bogdan (BUL),BENNACEUR Ali (TUN),SILVA ARCE Hernan (CHI),308,429,PAR,BEL,Draw,4
